Location,Frequency
India,1829
Delhi,848
States,659
Karnataka,490
Gujarat,224
Kerala,196
New Delhi,193
I.A.,175
Mumbai,169
US,165
IA,124
Rajasthan,118
Bombay,116
West Bengal,98
Shriram,93
Uttarakhand,87
GDR,82
Haryana,82
Ujjain,74
Accused,70
Notification,69
Kuno,64
England,64
Ganga,63
U.S.,63
Dehradun,62
CMP-2031,56
Krishna,56
Assessee,56
Odisha,55
Faridabad,54
the State of Tamil Nadu,54
Zoo,52
Yamuna,51
State,50
Bihar,50
IV,48
the State of Rajasthan,48
JICA,46
Clauses,46
Karoran,46
Jallikattu,46
Orissa,46
O.A.,44
the State of Gujarat,44
the State of Kerala,41
Chhattisgarh,40
Judges,40
NC,39
the United States,38
OA,38
MSPL,38
the State of Meghalaya,37
Mullaperiyar,36
Stockholm,35
the States of Punjab,34
the Official Gazette,34
R.P.C.B.,34
Assam,33
Sections,33
Bangladesh,32
the State of Maharashtra,32
Anangpur,32
Jabalpur,31
Hyderabad,30
Narmada,30
Andhra,30
MoD,29
List III,29
USA,28
Singh,27
JJ,27
Claimants,26
Jharkhand,26
Sanctuary,25
Canada,25
Allahabad,25
MBA-III,25
the Gazette of India,25
the State of West Bengal,24
Rathod,24
Vedanta,24
Bhaskaran,23
China,23
the State of Orissa,22
Shivalinga,22
Tsunami,22
Pune,21
UK,21
Kanpur,21
Australia,21
District Ropar,21
colonies,21
Mathura,20
Undertaking,20
Euram,20
P.C.,20
LA,20
Alaknanda,20
C.A.,20
United States,20
Japan,20
Pakistan,20
M.C.,20
Kolkata,19
Gurgaon,19
France,19
Jammu,19
Sterlite,19
Chandigarh,19
Khasra,19
Kulem,18
Hindi,18
Smt,18
Telangana,18
Peruru,18
Meghalaya,18
Lanjigarh,18
Ghaziabad,18
WP,17
Germany,17
Mansagar Lake,17
Bangalore,17
Lucknow,17
Bhopal,17
Bengaluru,16
the State of Bihar,16
Uttrakhand,16
T-1,16
Nawalgarh,15
Bachan Singh,15
Roorkee,15
Alang,15
48A,15
R.S.P.C.B.,15
the Union Territories,15
Jaipur,15
Telengana,15
Ex,14
Santiniketan,14
Dadri,14
London,14
Sandur,14
the United Kingdom,14
Nongtrai,14
New York,14
the State of,14
Warden,13
Village Manimajra,13
Parishad,13
PG,13
Allottee,13
Ispat,13
Varanasi,13
the City of Bangalore,13
Excise,13
Karst,13
South Africa,13
Norway,13
the United States of America,13
Tuticorin,13
Shillong,13
Castlerock,13
Tangra,13
directions:(i,13
Noyyal,13
Ahmedabad,12
Articles,12
List,12
the States of Andhra Pradesh,12
Bhudhram,12
Jindal,12
Sukinda Valley,12
Manoj,12
Meditrina,12
Vembanad,12
p.a.,12
the State of Goa,12
Nagpur,12
Kalyani,12
Jagmohan,12
Paris,12
Keonjhar,12
United Kingdom,12
Delhi Ridge,11
Centre,11
Rangachari,11
Pasupat,11
Topsia,11
Shakuntalabai,11
DDA,11
Maharashtra,11
the State of Haryana,11
MT,11
Mandamus,11
IIT Delhi,11
below:(i,11
01.04.2020,11
Uttar,11
Sandhu,11
Gowalas,10
Chandrachud,10
K.S.,10
Adani Rajasthan,10
G.O.,10
Amritlal,10
Nadergul Village,10
Lakshadweep,10
Sri Bhat,10
Hong Kong,10
U.S.A.,10
Latur,10
South Delhi,10
anomaly,9
Jyotirlinga,9
Cs-137,9
TET,9
East Khasi Hills District,9
Affidavit,9
Ashlesha,9
Singapore,9
Goa,9
Billigundulu,9
Mizoram,9
UG,9
Apex,9
V.D.I.S.,9
Central Delhi,9
Pulicat,9
MoC,9
Bench,9
Beas,9
Rylands,9
Switzerland,9
Ferozabad,9
the State of Andhra Pradesh,9
Nandini Satpathy,9
I.T.D.C.,9
Korba,9
Suffice,8
Judgment,8
Visakhapatnam,8
L&DO,8
Pondicherry,8
Salem,8
Pravinbhai,8
Mahakal,8
Dinesh,8
NCT Delhi,8
the States and,8
Vinod,8
Nepal,8
Municipality,8
Alwar,8
Southern Zone,8
L.T.,8
Tehsil,8
Alumina,8
C.B.I.,8
Puri,8
Anr,8
Ramkrishna,8
Shivlinga,8
Ernakulam,8
Extraordinary,8
Italy,8
overburden,7
USSR,7
04.11.2019,7
Ireland,7
Newasa,7
Chernobyl,7
Bangalore City,7
the State of Andhra,7
the States of Tamil Nadu,7
JMFC,7
America,7
Pandara,7
Rio de Janeiro,7
Indonesia,7
Dhanbad,7
Clause,7
Bhagwati,7
Halsbury,7
Bhilai,7
Ld,7
West Champaran,7
Shridhar,7
Sankalchand,7
Ranchi,7
Wales,7
Washington,7
Ministry of Coal,7
H.T.,7
the Ravva Field,7
MA,7
Bichhri village,7
MD,7
Bhuj,7
Bakrid,7
para,7
NH-179B,7
L.J.,7
Madras,7
Narayan,7
Srinagar,7
are:(i,7
Council,7
Niyamgiri Hills,7
Tiljala,7
Vainguinim,6
Mysore,6
Raibagh,6
Rohini,6
Patrapada,6
M.A.,6
law.5,6
Megha,6
Brazil,6
Mauza Ghatkuri,6
china,6
CAMPA,6
UPSEB,6
Sweden,6
Nagaland,6
Aadhar,6
BARC,6
Tirumala,6
the State of Odisha,6
Tughlakabad,6
Morphological Ridge,6
Austria,6
Denmark,6
Lingas,6
UCC,6
Engineering,6
Rathinam,6
Keshopur,6
Iran,6
North,6
Maratha,6
Vaamika,6
Mahuwa,6
West Godavari,6
U.K.,6
Gurugram,6
XXXXXX,6
Bicholi,6
Kanadia,6
Jalpaiguri,6
4A,6
Dhar,6
Port,6
B.S.T.C.,6
Aravalli Hills,6
Indore,6
Hemvati,6
Russia,6
Vikaspuri,6
Fatehpur,5
Dungripanth,5
Cambridge,5
LD,5
Palamedu,5
Aventis CropScience,5
Rangri,5
Pooja Rawat,5
D.S.,5
PW-2,5
Sendri,5
Chakki,5
the Indian States,5
DC,5
Gwalior,5
the States of Kerala,5
Vadinar,5
Dhari,5
Us,5
Patiala,5
A.S.,5
Greenwich,5
Noida,5
Sugar,5
Environmental Clearance,5
Patrapara,5
Saharanpur,5
Kachchigarh,5
Bhagirathi,5
Zambia,5
the State of Assam,5
Dubai,5
Jhajjar,5
Nongtrai Village,5
Poppalguda Village,5
Ghatkuri,5
Act.5,5
Jagir,5
Chamoli,5
Gauhati,5
Utpat,5
Ballabhgarh,5
JUDGMENTL,5
Vaamika Island,5
Katraj,5
Malaysia,5
C.C.,5
Lutyen,5
the riparian States,5
Kalwakole Village,5
Chemistry,5
Dharamshala,5
Barium,5
Greater Mumbai,5
Aminabad,5
Machado,5
Diploma,5
Formaldehyde,5
Surajkund,5
non-Delhi,5
the States of West Bengal,5
A.K. Gopalan,5
Gujarati,5
Janakpuri,5
Belgium,5
United States of America,5
Court,5
Braille,5
Lafarge,5
Brasilia,5
A.G.,5
Mukherjea,5
115th,5
Ahmednagar,5
the States,5
Satara,5
Tehsildar,5
Aurangabad,5
Sarva,5
Namibia,5
OA Nos,5
S.L.P.(Crl,5
D.O.,5
Pune City,5
New Aurangabad,5
us,4
mt.,4
BS-IV,4
Milan,4
Palar,4
East Bengal,4
Pagla Danga,4
harijan,4
Dr,4
Motilal,4
Mukesh,4
Narayana,4
08.04.2005,4
Kudrat,4
Shivling,4
NCLT,4
Tamil,4
Merged States and,4
Keshavpur,4
Bhuria Nala,4
Medak District,4
Kaliyasour,4
the States of Uttar Pradesh,4
"contains,--(a",4
Governments,4
Governmental,4
Bhitarli,4
Garbhgrih,4
Vijayanagara,4
Tamilnadu,4
Bajkheda,4
pp.,4
the States of Rajasthan,4
Statute,4
L-1,4
the States of Gujarat,4
Phase,4
employed1,4
Abhishekas,4
G.Os,4
Special Industrial Zone,4
Consortium of Titagarh,4
Ganderbal,4
M.R.,4
Badwaha,4
Bengal,4
Aadegaon,4
Departments,4
Adhiyaman,4
Khasi Hills Autonomous,4
Jajmau,4
Udhanwas,4
Panchtarni,4
the United State of Rajasthan,4
Gurdaspur,4
Madhya,4
Zimbabwe,4
Regulation,4
Vettila,4
Banks,4
Alagarswami,4
Jaisalmer,4
Jalgaon,4
Gategaon,4
L.Rs.,4
Parganas,4
Kamalabai,4
Jagmohan Singh,4
Sariska,4
Kumta,4
Sukhna Wildlife Sanctuary,4
W.B.,4
F.Y.,4
P.S.,4
the Republic of India,4
Malaria,4
01.06.2016,4
Gobind,4
Padma,4
Pudhupettai,4
Manipur,4
Kullu-Manali,4
Teachers,4
made:(i,4
